Year,Total_Target,CMAQ_Target,HSIP_Target,TAP_Target,,,,,,,,,,,,
2017,75009821,13427220,4296710,5097438,,,,,,,,,,,,
2018,88757069,13427220,4296710,5097438,,,,,,,,,,,,
2019,92721968,13427220,4296710,5097438,,,,,,,,,,,,
2020,91120634,13427220,4296710,5097438,,,,,,,,,,,,
2021,92472067,13427220,4296710,5097438,,,,,,,,,,,,
2022,94621275,13427220,4296710,5097438,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,